FCLTY_NM,CTPRVN_NM,FCLTY_TY_NM,PROGRM_NM,FCLTY_ADDR,latitude,longitude,PROGRM_TY_NM
근로자종합복지관 수영장,강원특별자치도,수영장,중급,강원특별자치도 춘천시 후석로440번길 9 (후평동),37.88924,127.7439562,수영
금곡공원국민체육센터,경기도,생활체육관,기구필라테스_월수금_15시,경기도 성남시 분당구 금곡로 302 (정자동),37.3571429,127.1097677,"필라테스, 아쿠아로빅, 헬스, 기구필라테스, 수영, 요가, 탁구, 배드민턴, 기천문"
금천구민문화체육센터,서울특별시,생활체육관,번지핏/토09시~09시50분/4회수업기준/1층다목적룸  회원구분:단체레슨반  장소:1층다목적룸,서울특별시 금천구 독산로54길 188 (독산동),37.4700675,126.907373,"체육프로그램, 기구필라테스, 라켓볼, 유아 및 어린이 체육, 바디핏"
금천구민문화체육센터수영장,서울특별시,수영장,"실버수영(마스터)/화,목(14:00~14:50)강습+토(12:00~13:50)자유수영  회원구분:마스터(접영이상)  장소:수영장",금천구 독산4동371-2,37.4701567,126.9072651,수영
기장군국민체육센터,부산광역시,생활체육관,"11시 스피닝(수,금)(2024)",부산광역시 기장군 일광면 체육공원1로 29,35.3050082,129.2429354,No Data
기장군국민체육센터수영장,부산광역시,수영장,07시 자유수영(2024),부산광역시 기장군 일광읍 체육공원1로 29,35.3050082,129.2429354,No Data
기장생활체육센터,부산광역시,생활체육관,"NEW 06시30분 요가(수,금)",부산광역시 기장군 기장읍 차성서로109번길 24,35.2436645,129.2081997,No Data
김천국민체육센터,경상북도,생활체육관,월수금 오후탁구,경상북도 김천시 운동장길 1 (삼락동),36.1398039,128.0864924,No Data
김포생활체육관,경기도,생활체육관,"배드민턴(월,수,금)09시~13시",경기도 김포시 김포한강8로 198-3 (마산동),37.6404091,126.6447177,"배드민턴, 탁구, 테니스"
까치산체육센터,서울특별시,골프연습장,골프연습장이용료(09시),서울특별시 관악구 행운10길 23 (봉천동),37.4819707,126.9624721,골프
남구 빙상장,부산광역시,빙상장,스피드_성인17,부산광역시 남구 백운포로 106 (용호동),35.1041011,129.1100054,No Data
남구국민체육센터 1관(실내체육관),부산광역시,생활체육관,배드민턴1350(개인레슨)_월수금,부산광역시 남구 백운포로 110 (용호동),35.1039604,129.1081414,"생활체육, 댄스, 요가"
남동국민체육센터,인천광역시,생활체육관,수영,인천광역시 남동구 백범로124번길 94 (만수동),37.4579476,126.7363472,No Data
남양주시청소년수련관,경기도,생활체육관,수영단기속성F(수금) 수영단기속성F(수금),경기도 남양주시 다산지금로 51-47 (이패동),37.6089511,127.1780908,수영/아쿠아로빅
남양주체육문화센터,경기도,생활체육관,건강·문화(GX) 성인/청소년건강.문화   남양주체육문화센터 건강·문화(GX)-성인/청소년건강.문화 10/A탁구프로그램   남양주체육문화센터 건강·문화(GX)-성인/청소년건강.문화 10/A탁구프로그램 탁구(컨퍼런스장) 탁구(컨퍼런스장),경기도 남양주시 다산지금로 91 (이패동),37.6052842,127.1767454,"건강·문화(GX), 헬스, 기구필라테스"
남양주체육문화센터수영장,경기도,수영장,10/E(월-금)성인/청소년 수영주5회(성인),경기도 남양주시 다산지금로 51-27 (이패동),37.6099008,127.1756116,수영
능곡 어울림센터 다목적체육관,경기도,생활체육관,09:30<배드민턴>월수금,경기도 시흥시 능곡로 140 (능곡동),37.3664199,126.8159456,No Data
능평스포츠센터-수영장,경기도,수영장,10시/A(교정)_기간수료-(1000M이상)1개월차,경기도 광주시 창뜰아랫길 14-3 (능평동),37.3489573,127.1667783,No Data
달성군국민체육센터,대구광역시,수영장,수영,대구광역시 달성군 현풍면 현풍동로 180,35.701692,128.4418206,No Data
달성문화센터수영장,대구광역시,수영장,수영강습,대구광역시 달성군 다사읍 대실역북로2길 188,35.8654751,128.4609555,No Data
도봉실내수영장,서울특별시,수영장,20시저녁수영A(초급),서울특별시 도봉구 도봉로180나길 41 (도봉동),37.6843208,127.0499431,"저녁수영, 어린이수영, 새벽수영, 오전수영, 아쿠아로빅"
동구 국민체육문예센터,부산광역시,생활체육관,한국무용,부산광역시 동구 구청로 8 (수정동),35.1289241,129.0447756,No Data
동구문화체육센터 수영장,인천광역시,수영장,월수금 상급반 저녁2부(20:00~20:50),인천광역시 동구 송림로110번길 5-8(송림동),37.475774,126.6475516,"수영강습, 월자유수영, 아쿠아로빅"
동대문구민체육센터수영장,서울특별시,수영장,06시 마스터즈-화목,대전광역시 서구 장안동  장안로 587,,,수영프로그램
동래구국민체육센터실내수영장,부산광역시,수영장,(13)-어린이소그룹수영_고급(평영이상),부산광역시 동래구 미남로116번길 3 (온천동),35.2045413,129.0697166,수영 프로그램
동부여성문화회관실내수영장,대구광역시,수영장,11.월수금 아쿠아로빅 13:20~14:10,대구광역시 동구 신암북로11길 54-2 (신암동),35.8904493,128.6222921,No Data
동작구민체육센터,서울특별시,생활체육관,풋볼/특화 그룹/6세~7세   동작구민체육센터 풋볼/특화-그룹/6세~7세 17시[수]어린이/football/6세~7세 주1회[6세~7세]   동작구민체육센터 풋볼/특화-그룹/6세~7세 17시[수]어린이/football/6세~7세 주1회[6세~7세],서울특별시 동작구 여의대방로16길 53 (신대방동),37.4947228,126.9167552,"풋 볼 / 특화, 헬 스, 골 프, 체육관, 바디핏 / 특화, 기구필라테스 / 특화, 서킷나이트 / 특화, 재키사이클 / 특화, 다목적실 2층, 탁 구, 당구[신규불가,25년운영방법변경종합검토], 퍼스널[P.T] 헬스비별도"
